filename,note,string,fret,take,f0_ideal,h1_freq,h2_freq,h3_freq,h4_freq,h5_freq,h1_amp,h2_amp,h3_amp,h4_amp,h5_amp,h2_h1,h3_h1,h4_h1,h5_h1,log_h3_h2,harmonic_centroid,spectral_centroid,rolloff_85,mean_relative_harmonic_deviation,pitch_error_hz,pitch_error_cents,tuning_ok
D3_S6_F10_09.wav,D3,6,10,9,146.8323839587038,148,296,442,590,736,0.5142683567024061,0.015564686439585251,1,0.012713348379409344,0.079191103,0.03026569,1.944510073324761,0.024721233989448494,0.15398789694269296,4.162687374577356,362.88511131478447,411.30557331101994,442,0.003322072,1.1676160412962133,13.712382525148238,TRUE
D3_S6_F10_10.wav,D3,6,10,10,146.8323839587038,148,296,442,590,738,0.6164851956126667,0.016006988969983618,1,0.019152811264213705,0.06442184,0.025964920299628245,1.622098968664112,0.031067755,0.10449859948562179,4.1346683707319505,347.78444615745843,394.8704112217776,444,0.002646396,1.1676160412962133,13.712382525148238,TRUE
E3_S4_F2_01.wav,E3,4,2,1,164.81377845643496,164,330,494,660,826,1,0.3317157856869774,0.082125557,0.14252762974088948,0.10239624817735138,0.3317157856869774,0.082125557,0.14252762974088948,0.10239624817735138,-1.396020111,297.01838752237575,389.9635234914631,166,0.005894309,-0.813778456,-8.569250688,TRUE
E3_S4_F2_02.wav,E3,4,2,2,164.81377845643496,164,330,496,660,824,1,0.28724877600940724,0.045434557,0.1887378059661587,0.068976599,0.28724877600940724,0.045434557,0.1887378059661587,0.068976599,-1.844057143,290.9531966,424.00970448709546,166,0.006300813,-0.813778456,-8.569250688,TRUE
E3_S4_F2_03.wav,E3,4,2,3,164.81377845643496,164,330,494,660,826,1,0.46701432919352454,0.042915718874855034,0.21376860130296127,0.089811661,0.46701432919352454,0.042915718874855034,0.21376860130296127,0.089811661,-2.387100615,305.8084640569589,435.7604044971189,330,0.005894309,-0.813778456,-8.569250688,TRUE
E3_S4_F2_04.wav,E3,4,2,4,164.81377845643496,164,330,496,660,824,1,0.22869295487105545,0.032452054900751745,0.12052609323302613,0.04455657,0.22869295487105545,0.032452054900751745,0.12052609323302613,0.04455657,-1.952590088,260.70643302029816,417.0992656717758,166,0.006300813,-0.813778456,-8.569250688,TRUE
E3_S4_F2_05.wav,E3,4,2,5,164.81377845643496,164,330,496,660,826,1,0.5724023401085876,0.034640163,0.23929073358804467,0.10432496308632297,0.5724023401085876,0.034640163,0.23929073358804467,0.10432496308632297,-2.804801223,314.8571066144968,450.8381965838362,330,0.006910569,-0.813778456,-8.569250688,TRUE
E3_S4_F2_06.wav,E3,4,2,6,164.81377845643496,164,330,494,660,826,1,0.31871347561289026,0.033548640102499534,0.11834398327851739,0.040573139,0.31871347561289026,0.033548640102499534,0.11834398327851739,0.040573139,-2.251269505,262.9528693558258,390.5004336118194,166,0.005894309,-0.813778456,-8.569250688,TRUE
E3_S4_F2_07.wav,E3,4,2,7,164.81377845643496,164,330,496,660,826,1,0.3120877478757237,0.050573891690444316,0.17480332867642923,0.10614076297628444,0.3120877478757237,0.050573891690444316,0.17480332867642923,0.10614076297628444,-1.819832354,301.23773896500734,398.1413400401115,166,0.006910569,-0.813778456,-8.569250688,TRUE
E3_S4_F2_08.wav,E3,4,2,8,164.81377845643496,164.00683361806742,330.0137505729405,494.02058419100797,660.0275011,826.0344181007542,1,0.2866151701003402,0.063780998,0.13222689125940415,0.046099353,0.2866151701003402,0.063780998,0.13222689125940415,0.046099353,-1.502672941,271.7667644238854,405.6465907660091,166.00691695487313,0.005894309,-0.806944838,-8.497114433,TRUE
